sector,years_in_operation,num_employees,loan_amount_kes,loan_term_months,interest_rate_pct,mpesa_avg_monthly_inflow,mpesa_avg_monthly_outflow,mpesa_txn_count_monthly,mpesa_savings_ratio,electricity_payment_delays,electricity_bill_avg,water_bill_avg,social_media_active,online_ads_spend_kes,avg_monthly_data_spend,avg_monthly_airtime_spend,pos_monthly_sales,pos_txn_volume,loan_default,dataset_source
Manufacturing,4.5,6,783870,12,19.39,62539,20175,433,0.6774,1,795,2263,1,2406,360,1670,24647,63,0,Kenya_SME
Retail,1.4,3,62524,36,19.29,79149,53440,225,0.3248,6,867,1866,0,0,1426,780,306387,2118,1,Kenya_SME
Transport,3.3,6,375181,18,16.08,29989,20726,305,0.3089,4,2410,2601,1,550,1172,1090,133647,267,0,Kenya_SME
Wholesale,1.8,1,883325,12,17.37,154449,112350,509,0.2726,2,10137,1370,1,2819,3953,551,255666,812,0,Kenya_SME
Construction,11.9,42,1682367,24,23.76,60404,25044,104,0.5854,5,3951,8653,0,0,1623,472,28249,196,1,Kenya_SME
Hospitality,12.3,4,243073,12,22.57,49193,46256,116,0.0597,2,7597,1278,0,0,1174,987,11060,18,0,Kenya_SME
Transport,0.9,6,333841,48,13.93,20641,14445,818,0.3001,0,7045,2525,0,0,2568,1538,371475,1220,0,Kenya_SME
Retail,4.6,6,183740,36,17.03,26893,19679,180,0.2682,2,6015,3331,0,0,1105,1165,33121,112,0,Kenya_SME
Services,4.6,3,492493,12,15.21,37606,26142,215,0.3048,3,4259,1480,1,1589,1574,1080,331955,428,0,Kenya_SME
Retail,4.7,6,1310274,24,17.94,17580,9325,313,0.4695,3,4990,591,1,2746,3562,1372,157872,439,1,Kenya_SME
Services,10.5,13,967668,12,16.35,77112,69270,660,0.1017,1,5450,1552,0,0,1769,2069,58087,67,0,Kenya_SME
Construction,4.2,5,548925,18,18.76,82804,32134,494,0.6119,1,8336,1296,0,0,3787,1399,95927,326,0,Kenya_SME
Retail,13.6,9,352527,18,14.57,52828,30975,221,0.4137,4,2710,4984,1,18069,4477,1308,246755,251,0,Kenya_SME
Hospitality,0.5,9,448828,24,9.31,59137,33922,458,0.4264,5,3668,1248,1,3091,1862,1146,298535,472,0,Kenya_SME
Services,6.7,8,107174,24,20.49,167991,146266,231,0.1293,3,18108,3063,0,0,1779,1258,205613,1078,1,Kenya_SME
Retail,4.1,23,316928,6,13.72,32827,10449,190,0.6817,2,8130,4759,0,0,2493,730,132832,515,0,Kenya_SME
Hospitality,1.8,6,2029569,12,19.02,27027,17195,177,0.3638,3,3291,1679,1,1216,2579,813,375939,1034,0,Kenya_SME
Services,0.5,3,101190,12,17.97,25830,21912,68,0.1517,5,4195,5778,1,2734,1877,1279,35571,97,1,Kenya_SME
Manufacturing,1.1,4,846665,6,22.75,65543,14253,71,0.7825,2,2422,4119,0,0,4233,1302,320268,707,0,Kenya_SME
Services,0.8,6,424561,12,20.78,16254,14214,80,0.1255,4,12315,3150,0,0,1920,2034,30957,98,0,Kenya_SME
Retail,14.3,1,128956,24,10.65,41315,21885,186,0.4703,8,4452,1957,1,2044,3640,2095,244856,467,1,Kenya_SME
Retail,6.6,15,74532,18,27.04,101046,82969,221,0.1789,5,9151,2623,0,0,1964,1396,721575,1050,0,Kenya_SME
Wholesale,1,4,710670,36,13.63,98164,50804,646,0.4824,3,5666,683,1,27089,2053,2872,88176,251,0,Kenya_SME
Hospitality,1.3,4,367893,18,16.35,48248,9650,240,0.8,4,1363,554,0,0,695,1622,86769,98,0,Kenya_SME
Transport,15.2,1,211180,12,22.56,69453,49362,225,0.2893,2,4832,2401,0,0,907,526,18643,36,0,Kenya_SME
Hospitality,2.4,4,2486386,60,19.09,32479,12420,404,0.6176,1,3024,1506,1,2792,573,1404,48748,127,1,Kenya_SME
Hospitality,11.6,1,765161,6,18.76,37347,18292,254,0.5102,4,1327,786,1,31155,1588,530,42381,99,0,Kenya_SME
Retail,1.2,1,118072,18,23.4,119534,49891,698,0.5826,2,1338,1510,0,0,974,1592,76704,163,0,Kenya_SME
ICT,2,2,697499,18,14.42,74025,51813,332,0.3001,2,14401,1492,0,0,1467,1405,240390,539,0,Kenya_SME
